Party,City,City_code,Kalpi_N,Rikuz,Shofet,Potential_Electors,Voted,Disqualified,ApprovedVotes,Votes,PartyLetters,Name,Address,lon,lat,Rel,Kalpi_Rel,AddresO,n,OtherParties
Yemina,שלומית,1364,1,2,0,113,95,0,95,59,טב,ימינה,שלומית,34.28,31.21,0.6210526315789474,0.8407079646017699,שלומית,5,<br>others:<br>24.2% עצמה_יהודית<br>7.4% הליכוד<br>4.2% שס<br>
Blue_White,כרם שלום,1085,1,1,0,136,69,2,67,19,פה,כחול_לבן,כרם שלום,34.284559,31.228281,0.2835820895522388,0.5073529411764706,כרם שלום,9,<br>others:<br>20.9% ימינה<br>19.4% הליכוד<br>11.9% העבודה_גשר<br>
Yemina,בני נצרים,1363,1,1,0,299,250,3,247,139,טב,ימינה,בני נצרים,34.316403,31.143513,0.562753036437247,0.8361204013377926,בני נצרים,7,<br>others:<br>21.1% יהדות_התורה<br>15.8% עצמה_יהודית<br>5.3% הליכוד<br>
Blue_White,יבול,1232,1,1,0,203,156,0,156,66,פה,כחול_לבן,יבול,34.318952,31.189458,0.4230769230769231,0.7684729064039408,יבול,11,<br>others:<br>14.1% מרצ<br>9.6% הליכוד<br>9.0% ימינה<br>
Blue_White,יתד,1227,1,1,0,332,246,3,243,84,פה,כחול_לבן,יתד,34.326126,31.207042,0.345679012345679,0.7409638554216867,יתד,11,<br>others:<br>29.6% הליכוד<br>11.9% צומת<br>6.6% העבודה_גשר<br>
Blue_White,חולית,1239,1,1,0,132,91,0,91,38,פה,כחול_לבן,חולית,34.32734,31.230563,0.4175824175824176,0.6893939393939394,חולית,9,<br>others:<br>27.5% העבודה_גשר<br>13.2% הליכוד<br>7.7% מרצ<br>
Israel_Beitenu,אבשלום,1311,1,1,0,247,157,2,155,78,ל,ישראל_ביתנו,אבשלום,34.331509,31.195273,0.5032258064516129,0.6356275303643725,אבשלום,11,<br>others:<br>22.6% הליכוד<br>16.8% כחול_לבן<br>1.9% העבודה_גשר<br>
Yahadut_Hatora,נווה,1366,1,1,0,315,271,5,266,125,ג,יהדות_התורה,נווה,34.333405,31.162229,0.4699248120300752,0.8603174603174604,נווה,5,<br>others:<br>36.5% ימינה<br>13.2% עצמה_יהודית<br>2.3% שס<br>
Blue_White,שדי אברהם,1223,1,1,0,250,179,0,179,102,פה,כחול_לבן,שדי אברהם,34.335692,31.211594,0.5698324022346368,0.716,שדי אברהם,9,<br>others:<br>9.5% העבודה_גשר<br>8.4% הליכוד<br>7.8% צומת<br>
Blue_White,סופה,1238,1,1,0,183,111,0,111,68,פה,כחול_לבן,סופה,34.34,31.24,0.6126126126126126,0.6065573770491803,סופה,8,<br>others:<br>10.8% מרצ<br>9.0% העבודה_גשר<br>8.1% ישראל_ביתנו<br>
Tzomet,פרי גן,1231,1,1,0,164,115,0,115,37,זץ,צומת,פרי גן,34.355936,31.222015,0.3217391304347826,0.7012195121951219,פרי גן,8,<br>others:<br>24.3% כחול_לבן<br>20.0% הליכוד<br>11.3% ימינה<br>
Meretz,ניר יצחק,402,1,1,0,574,384,2,382,162,מרצ,מרצ,ניר יצחק,34.356702,31.23604,0.42408376963350786,0.6689895470383276,ניר יצחק,10,<br>others:<br>39.3% כחול_לבן<br>11.5% העבודה_גשר<br>1.8% ישראל_ביתנו<br>
Blue_White,תלמי יוסף,1237,1,1,0,264,163,1,162,87,פה,כחול_לבן,תלמי יוסף,34.363751,31.199958,0.5370370370370371,0.6174242424242424,תלמי יוסף,8,<br>others:<br>13.0% הליכוד<br>9.3% מרצ<br>8.0% העבודה_גשר<br>
Blue_White,נירים,602,1,2,0,378,277,3,274,112,פה,כחול_לבן,נירים,34.394087,31.33572999999999,0.40875912408759124,0.7328042328042328,נירים,11,<br>others:<br>32.8% מרצ<br>16.4% העבודה_גשר<br>3.3% הליכוד<br>
Blue_White,ניצני סיני,1280,1,1,0,202,121,0,121,54,פה,כחול_לבן,ניצני סיני,34.396679,30.903428,0.4462809917355372,0.599009900990099,ניצני סיני,9,<br>others:<br>14.9% הליכוד<br>13.2% העבודה_גשר<br>7.4% צומת<br>
Avoda_Gesher,כיסופים,840,1,1,0,289,147,1,146,61,אמת,העבודה_גשר,כיסופים,34.398992,31.374545,0.4178082191780822,0.5086505190311419,כיסופים,11,<br>others:<br>32.2% כחול_לבן<br>9.6% מרצ<br>6.8% הליכוד<br>
Blue_White,ניר עוז,69,1,1,0,325,225,1,224,96,פה,כחול_לבן,ניר עוז,34.402075,31.309697,0.42857142857142855,0.6923076923076923,ניר עוז,11,<br>others:<br>34.4% מרצ<br>12.1% העבודה_גשר<br>5.8% הליכוד<br>
Blue_White,ישע,916,1,1,1,280,210,5,205,78,פה,כחול_לבן,ישע,34.403091,31.247595,0.3804878048780488,0.75,ישע,9,<br>others:<br>29.3% הליכוד<br>11.2% העבודה_גשר<br>9.3% צומת<br>
Blue_White,עין השלושה,676,1,1,0,292,180,1,179,102,פה,כחול_לבן,עין השלושה,34.403471,31.351722,0.5698324022346368,0.6164383561643836,עין השלושה,9,<br>others:<br>17.9% העבודה_גשר<br>8.4% ישראל_ביתנו<br>8.4% הליכוד<br>
Likud,מבטחים,829,1,1,0,385,247,0,247,106,מחל,הליכוד,מבטחים,34.404917,31.24093599999999,0.4291497975708502,0.64155844155844155,מבטחים,10,<br>others:<br>20.2% צומת<br>10.1% כחול_לבן<br>9.7% שס<br>
Likud,עמיעוז,318,1,1,0,209,138,0,138,45,מחל,הליכוד,עמיעוז,34.413404,31.248463,0.32608695652173914,0.6602870813397129,עמיעוז,7,<br>others:<br>26.1% כחול_לבן<br>23.9% צומת<br>10.1% שס<br>
Blue_White,שדה ניצן,1058,1,1,0,366,216,1,215,102,פה,כחול_לבן,שדה ניצן,34.418363,31.230035,0.4744186046511628,0.5901639344262295,שדה ניצן,11,<br>others:<br>17.7% מרצ<br>14.9% העבודה_גשר<br>5.1% הליכוד<br>
Blue_White,ניצנה (קהילת חינוך),1195,1,1,0,240,83,0,83,35,פה,כחול_לבן,מרכז קליטה ניצנה (קהילת חינוך),34.422569,30.885983,0.42168674698795183,0.3458333333333333,מרכז קליטה ניצנה (קהילת חינוך),10,<br>others:<br>15.7% הליכוד<br>14.5% ימינה<br>9.6% ישראל_ביתנו<br>
Likud,צוחר,1136,1,1,0,440,297,1,296,122,מחל,הליכוד,צוחר,34.426444,31.23717,0.41216216216216217,0.675,צוחר,11,<br>others:<br>27.0% כחול_לבן<br>7.4% העבודה_גשר<br>5.4% שס<br>
Likud,תלמי אליהו,1051,1,1,0,221,130,0,130,52,מחל,הליכוד,תלמי אליהו,34.429114,31.229611,0.4,0.5882352941176471,תלמי אליהו,10,<br>others:<br>24.6% כחול_לבן<br>9.2% שס<br>6.9% העבודה_גשר<br>
Meretz,מגן,695,1,1,0,466,332,2,330,140,מרצ,מרצ,מגן,34.4293497,31.295786,0.42424242424242425,0.7124463519313304,מגן,8,<br>others:<br>38.2% כחול_לבן<br>12.1% העבודה_גשר<br>3.0% ישראל_ביתנו<br>
Blue_White,כמהין,1291,1,1,0,233,179,2,177,76,פה,כחול_לבן,כמהין,34.430782,30.909632,0.4293785310734463,0.7682403433476395,כמהין,8,<br>others:<br>15.3% העבודה_גשר<br>11.9% מרצ<br>10.2% ימינה<br>
Blue_White,אוהד,1046,1,1,0,257,173,0,173,63,פה,כחול_לבן,אוהד,34.431893,31.238436,0.36416184971098264,0.6731517509727627,אוהד,10,<br>others:<br>32.9% הליכוד<br>8.7% ימינה<br>7.5% העבודה_גשר<br>
Blue_White,עין הבשור,1240,1,1,0,725,553,0,553,277,פה,כחול_לבן,עין הבשור,34.4434884,31.281615,0.5009041591320073,0.7627586206896552,עין הבשור,10,<br>others:<br>13.6% הליכוד<br>10.8% העבודה_גשר<br>8.1% מרצ<br>
Blue_White,רעים,713,1,1,0,362,255,1,254,131,פה,כחול_לבן,רעים,34.458823,31.386159,0.515748031496063,0.7044198895027625,רעים,7,<br>others:<br>29.9% העבודה_גשר<br>12.2% מרצ<br>2.8% ישראל_ביתנו<br>
Meretz,גבולות,352,1,2,0,300,188,1,187,56,מרצ,מרצ,גבולות,34.466199,31.211168,0.2994652406417112,0.6266666666666667,גבולות,9,<br>others:<br>28.3% כחול_לבן<br>16.0% העבודה_גשר<br>15.0% ישראל_ביתנו<br>
Blue_White,בארי,399,1 2,1,0,416,331,1,648,247,פה,כחול_לבן,בארי,34.492567,31.424513,0.38117283950617287,0.7617370892018779,בארי,12,<br>others:<br>32.3% העבודה_גשר<br>22.2% מרצ<br>2.9% הליכוד<br>
Blue_White,נחל עוז,844,1,1,0,345,236,3,233,113,פה,כחול_לבן,נחל עוז,34.497675,31.47267999999999,0.48497854077253216,0.6840579710144927,נחל עוז,9,<br>others:<br>29.6% העבודה_גשר<br>9.4% מרצ<br>5.6% הליכוד<br>
Yemina,עלומים,1146,1,1,0,349,264,1,263,160,טב,ימינה,עלומים,34.514711,31.453049,0.6083650190114068,0.7564469914040115,עלומים,10,<br>others:<br>17.5% הליכוד<br>10.6% כחול_לבן<br>5.7% העבודה_גשר<br>
Blue_White,זיקים,584,1,1,0,718,478,0,478,204,פה,כחול_לבן,זיקים,34.520968,31.607204,0.42677824267782427,0.6657381615598886,זיקים,10,<br>others:<br>24.1% מרצ<br>12.3% הליכוד<br>11.7% העבודה_גשר<br>
Yemina,שוקדה,415,1,1,0,267,216,1,215,103,טב,ימינה,שוקדה,34.524383,31.422098,0.4790697674418605,0.8089887640449438,שוקדה,7,<br>others:<br>30.2% הליכוד<br>14.4% שס<br>4.2% עצמה_יהודית<br>
Blue_White,אורים,403,1,1,0,442,243,2,241,126,פה,כחול_לבן,אורים,34.524868,31.304094,0.5228215767634855,0.5497737556561086,אורים,10,<br>others:<br>21.2% העבודה_גשר<br>13.7% מרצ<br>5.0% ישראל_ביתנו<br>
Blue_White,כפר עזה,845,1,1,0,715,501,0,501,288,פה,כחול_לבן,כפר עזה,34.532291,31.483416,0.5748502994011976,0.7006993006993008,כפר עזה,11,<br>others:<br>18.6% העבודה_גשר<br>13.0% מרצ<br>4.2% הליכוד<br>
Blue_White,צאלים,413,1,1,0,399,277,0,277,105,פה,כחול_לבן,צאלים,34.533359,31.203909,0.37906137184115524,0.6942355889724311,צאלים,10,<br>others:<br>33.9% העבודה_גשר<br>12.6% מרצ<br>9.0% הליכוד<br>
Yemina,סעד,419,1,1,0,626,461,4,457,214,טב,ימינה,סעד,34.534356,31.47018499999999,0.4682713347921225,0.7364217252396166,סעד,11,<br>others:<br>24.9% כחול_לבן<br>14.4% הליכוד<br>6.8% העבודה_גשר<br>
Yemina,כפר מימון,1095,1,1,0,423,345,0,345,206,טב,ימינה,כפר מימון,34.53718,31.431401,0.5971014492753624,0.8156028368794326,כפר מימון,9,<br>others:<br>25.2% הליכוד<br>6.1% עצמה_יהודית<br>5.8% כחול_לבן<br>
Blue_White,נתיב העשרה,1242,1,1,0,674,528,2,526,281,פה,כחול_לבן,נתיב העשרה,34.539152,31.5723406,0.5342205323193916,0.7833827893175074,נתיב העשרה,12,<br>others:<br>14.6% הליכוד<br>9.1% העבודה_גשר<br>6.1% ימינה<br>
Blue_White,כרמיה,768,1,1,0,449,320,0,320,134,פה,כחול_לבן,כרמיה,34.540413,31.60269499999999,0.41875,0.7126948775055679,כרמיה,10,<br>others:<br>20.3% מרצ<br>15.6% הליכוד<br>14.1% העבודה_גשר<br>
Yemina,תושיה,1083,1,1,0,317,247,0,247,143,טב,ימינה,תושיה,34.541314,31.432895,0.5789473684210527,0.7791798107255521,תושיה,7,<br>others:<br>22.3% הליכוד<br>13.4% עצמה_יהודית<br>3.2% שס<br>
Likud,שובה,761,1,1,0,428,331,0,331,185,מחל,הליכוד,שובה,34.545496,31.44995,0.5589123867069486,0.7733644859813084,שובה,12,<br>others:<br>18.7% ימינה<br>9.7% עצמה_יהודית<br>6.6% שס<br>
Likud,זמרת,1065,1,1,0,367,334,1,333,174,מחל,הליכוד,זמרת,34.552,31.447,0.5225225225225225,0.9100817438692098,זמרת,9,<br>others:<br>16.5% ימינה<br>10.2% עצמה_יהודית<br>10.2% שס<br>
